feature,bin_index,bin,count,bads,bad_rate,population_share,woe,iv,points
AGE_YEARS,11,"(49.38, 51.72]",10763,754,0.07005481743008454,0.05000069684144999,-0.1603055028258756,0.08543878807965585,36.2
AGE_YEARS,12,"(51.72, 53.9]",10769,753,0.06992292691986257,0.0500285704994495,-0.1623308541771653,0.08543878807965585,36.2
AGE_YEARS,13,"(53.9, 56.09]",10756,653,0.06071030122722201,0.0499681775737839,-0.3133655044112826,0.08543878807965585,35.4
AGE_YEARS,14,"(56.09, 58.38]",10768,587,0.05451337295690936,0.05002392488978291,-0.427522240994264,0.08543878807965585,34.7
AGE_YEARS,15,"(58.38, 63.54]",21524,1172,0.05445084556773834,0.09999210246356681,-0.42913639314970653,0.08543878807965585,34.7
AGE_YEARS,16,"(63.54, inf]",10768,475,0.04411218424962853,0.05002392488978291,-0.6499718850859262,0.08543878807965585,33.4
AGE_YEARS,17,missing,0,0,0.0,0.0,2.4249291399779915,0.08543878807965585,50.9
GOODS_CREDIT_RATIO,0,"(-inf, 0.783]",21078,2681,0.1271942309517032,0.09792016055227008,0.49935116713650807,0.07481148143459687,25.9
GOODS_CREDIT_RATIO,1,"(0.783, 0.8347]",24420,2710,0.11097461097461098,0.1134457880579958,0.34452671874618956,0.07481148143459687,29.4
GOODS_CREDIT_RATIO,2,"(0.8347, 0.8535]",19024,1743,0.091621110176619,0.08837807829710533,0.13144763548377025,0.07481148143459687,34.2
GOODS_CREDIT_RATIO,3,"(0.8535, 0.8732]",18270,1569,0.08587848932676519,0.08487528860850053,0.060448175065769466,0.07481148143459687,35.8
GOODS_CREDIT_RATIO,4,"(0.8732, 0.8834]",6545,466,0.07119938884644766,0.030405515267796168,-0.1422301009347921,0.07481148143459687,40.3
GOODS_CREDIT_RATIO,5,"(0.8834, 0.9266]",39633,2659,0.06709055584992304,0.18411944791574722,-0.20690073714047466,0.07481148143459687,41.8
GOODS_CREDIT_RATIO,6,"(0.9266, inf]",86112,5648,0.06558900037160907,0.40004273960893255,-0.23123645667021134,0.07481148143459687,42.4
GOODS_CREDIT_RATIO,7,missing,175,15,0.08571428571428572,0.000812981691652304,0.08773569486941263,0.07481148143459687,35.2
NAME_INCOME_TYPE,0,Commercial associate,50120,3760,0.07501995211492418,0.23283795648921987,-0.08665415834382598,0.05505995397511976,37.9
NAME_INCOME_TYPE,1,Pensioner,38773,2120,0.05467722384133289,0.18012422360248448,-0.4246152938492629,0.05505995397511976,40.7
NAME_INCOME_TYPE,2,State servant,15098,900,0.05961054444297258,0.0701394147460942,-0.33269972164601613,0.05505995397511976,39.9
NAME_INCOME_TYPE,3,Working,111225,10705,0.09624634749381883,0.5167079351658715,0.18563765924443898,0.05505995397511976,35.6
NAME_INCOME_TYPE,4,__other__,41,6,0.14634146341463414,0.00019046999632996837,0.7275111983650866,0.05505995397511976,31.1
NAME_INCOME_TYPE,5,missing,0,0,0.0,0.0,2.425241717944865,0.05505995397511976,17.1
NAME_EDUCATION_TYPE,0,Higher education,52370,2823,0.05390490738972694,0.2432905782390352,-0.43971283734074623,0.05102102851051651,45.5
NAME_EDUCATION_TYPE,1,Incomplete higher,7157,603,0.0842531787061618,0.03324862838374594,0.040080642844587774,0.05102102851051651,36.4
NAME_EDUCATION_TYPE,2,Lower secondary,2660,308,0.11578947368421053,0.012357321713115021,0.39372968983077317,0.05102102851051651,29.7
NAME_EDUCATION_TYPE,3,Secondary / secondary special,152954,13754,0.08992246034755548,0.7105645809427801,0.11069242139478969,0.05102102851051651,35.0
NAME_EDUCATION_TYPE,4,__other__,116,3,0.02586206896551724,0.000538890721323813,-1.0537981504812242,0.05102102851051651,57.1
NAME_EDUCATION_TYPE,5,missing,0,0,0.0,0.0,2.425241717944865,0.05102102851051651,-8.7
PHONE_CHANGE_YEARS,0,"(-inf, 0.9938]",64533,6176,0.09570297367238467,0.2997951286137036,0.17922324943670737,0.0459597978766704,36.4
PHONE_CHANGE_YEARS,1,"(0.9938, 1.766]",32251,3029,0.09391956838547642,0.14982555735701975,0.15851799552215226,0.0459597978766704,36.5
PHONE_CHANGE_YEARS,2,"(1.766, 2.067]",10769,1007,0.09350914662457052,0.0500285704994495,0.1539828662919304,0.0459597978766704,36.5
PHONE_CHANGE_YEARS,3,"(2.067, 2.434]",10781,926,0.08589184676746127,0.05008431781544851,0.060688458377464345,0.0459597978766704,36.9
PHONE_CHANGE_YEARS,4,"(2.434, 2.897]",10768,898,0.08339524517087667,0.05002392488978291,0.028480283136924942,0.0459597978766704,37.0
PHONE_CHANGE_YEARS,5,"(2.897, 3.357]",10779,800,0.07421838760552928,0.05007502659611534,-0.09799236879424864,0.0459597978766704,37.6
PHONE_CHANGE_YEARS,6,"(3.357, 3.899]",10783,748,0.06936845033849579,0.05009360903478168,-0.17075351512083067,0.0459597978766704,37.9
PHONE_CHANGE_YEARS,7,"(3.899, 4.709]",21497,1394,0.06484625761734196,0.09986667100256902,-0.24329863455506728,0.0459597978766704,38.2
PHONE_CHANGE_YEARS,8,"(4.709, 5.166]",10784,678,0.06287091988130564,0.05009825464444827,-0.2759902142930949,0.0459597978766704,38.3
PHONE_CHANGE_YEARS,9,"(5.166, 5.908]",10774,666,0.06181548171524039,0.05005179854778242,-0.29403242681658426,0.0459597978766704,38.4
PHONE_CHANGE_YEARS,10,"(5.908, 6.902]",10772,596,0.05532862978091348,0.05004250732844925,-0.411697811435929,0.0459597978766704,38.9
PHONE_CHANGE_YEARS,11,"(6.902, inf]",10765,573,0.05322805387830933,0.050009988060783155,-0.4525901315049492,0.0459597978766704,39.1
PHONE_CHANGE_YEARS,12,missing,1,0,0.0,4.645609666584594e-06,1.3264470779509243,0.0459597978766704,31.4
ID_PUBLISH_YEARS,0,"(-inf, 1.024]",10752,1150,0.10695684523809523,0.049949595135117555,0.3031543774596376,0.04119323728282503,34.2
ID_PUBLISH_YEARS,1,"(1.024, 1.993]",10757,1082,0.10058566514827554,0.049972823183450484,0.23465749193171978,0.04119323728282503,34.9
ID_PUBLISH_YEARS,2,"(1.993, 2.872]",10776,1077,0.09994432071269488,0.05006108976711559,0.22755043341101902,0.04119323728282503,34.9
ID_PUBLISH_YEARS,3,"(2.872, 3.762]",10762,1049,0.09747258873815276,0.049996051231783405,0.19977841798612928,0.04119323728282503,35.2
ID_PUBLISH_YEARS,4,"(3.762, 4.695]",10736,1040,0.09687034277198212,0.049875265380452206,0.19291759940167055,0.04119323728282503,35.3
ID_PUBLISH_YEARS,5,"(4.695, 5.582]",10765,982,0.09122155132373433,0.050009988060783155,0.1266289997295398,0.04119323728282503,35.9
ID_PUBLISH_YEARS,6,"(5.582, 7.272]",21553,1949,0.09042824664779844,0.10012682514389776,0.11679502592375786,0.04119323728282503,36.0
ID_PUBLISH_YEARS,7,"(7.272, 8.09]",10751,924,0.08594549344247047,0.04994494952545097,0.0612944217354411,0.04119323728282503,36.6
ID_PUBLISH_YEARS,8,"(8.09, 8.912]",10743,870,0.0809829656520525,0.0499077846481183,-0.003560692084843736,0.04119323728282503,37.2
ID_PUBLISH_YEARS,9,"(8.912, 11.09]",32322,2568,0.07945052905142008,0.15015539564334726,-0.02467708192766144,0.04119323728282503,37.4
ID_PUBLISH_YEARS,10,"(11.09, 11.43]",10731,787,0.07333892461094027,0.04985203733211928,-0.1109303145992361,0.04119323728282503,38.2
ID_PUBLISH_YEARS,11,"(11.43, 11.77]",10791,724,0.06709294782689278,0.05013077391211436,-0.20660470276059528,0.04119323728282503,39.1
ID_PUBLISH_YEARS,12,"(11.77, 12.13]",10683,680,0.0636525320602827,0.04962904806812322,-0.26288126044467297,0.04119323728282503,39.7
ID_PUBLISH_YEARS,13,"(12.13, 12.51]",10837,664,0.06127156962258928,0.05034447195677725,-0.3035254729383807,0.04119323728282503,40.1
ID_PUBLISH_YEARS,14,"(12.51, inf]",32298,1945,0.0602204470865069,0.15004390101134923,-0.32241159046183404,0.04119323728282503,40.3
ID_PUBLISH_YEARS,15,missing,0,0,0.0,0.0,2.424981228204277,0.04119323728282503,13.7
CREDIT_TERM,0,"(-inf, 0.02895]",10761,578,0.053712480252764615,0.04999140562211682,-0.4428177244002045,0.04039716554764673,45.2
CREDIT_TERM,1,"(0.02895, 0.03226]",21521,1304,0.060591979926583335,0.09997816563456705,-0.31546096901731857,0.04039716554764673,42.9
CREDIT_TERM,2,"(0.03226, 0.04538]",53815,3611,0.06710025085942581,0.25000348420724994,-0.20671369422975322,0.04039716554764673,40.9
CREDIT_TERM,3,"(0.04538, inf]",129151,11998,0.09289900968633615,0.599985134049067,0.14656437261614655,0.04039716554764673,34.5
CREDIT_TERM,4,missing,9,0,0.0,4.181048699926135e-05,-0.5191712077905647,0.04039716554764673,46.6
CODE_GENDER,0,F,141564,9991,0.0705758526178972,0.6576510868403815,-0.15253707367621377,0.03766800008021649,39.6
CODE_GENDER,1,M,73689,7500,0.1017790986443024,0.34233033072095215,0.24774167051311569,0.03766800008021649,33.2
CODE_GENDER,2,__other__,4,0,0.0,1.8582438666338377e-05,0.22806924828120803,0.03766800008021649,33.5
CODE_GENDER,3,missing,0,0,0.0,0.0,2.4252938256174277,0.03766800008021649,-1.5
